epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9349,3.24882,4.35459,1.82704,0.00036,0.00023,0.00018,2e-05,3.08156,4.22399,1.94204,8.574e-05,8.574e-05,8.574e-05
2,48.4285,3.01614,4.05998,1.60728,0.00714,0.00204,0.00397,0.00133,2.75413,4.14582,1.5162,0.000183143,0.000183143,0.000183143
3,55.3605,2.87781,3.75819,1.38207,0.00914,0.00476,0.00696,0.0025,2.71931,4.09106,1.37257,0.000277716,0.000277716,0.000277716
4,60.8359,2.8446,3.49914,1.34885,0.00511,0.00612,0.00341,0.00115,2.71553,4.02289,1.29616,0.00036946,0.00036946,0.00036946
5,68.0959,2.88822,3.35946,1.39598,0.0082,0.01503,0.00729,0.00227,2.66266,3.92339,1.21945,0.000458374,0.000458374,0.000458374
6,79.7185,2.89783,3.19128,1.33555,0.00683,0.03042,0.00672,0.00201,2.62439,3.81125,1.21035,0.000544459,0.000544459,0.000544459
7,88.5285,2.78817,3.03064,1.33818,0.0074,0.03526,0.00774,0.00254,2.76393,3.73978,1.29657,0.000627715,0.000627715,0.000627715
8,97.5352,2.8344,3.03681,1.33353,0.0088,0.03082,0.00704,0.00217,2.6621,3.55451,1.27579,0.000708141,0.000708141,0.000708141
9,108.408,2.77591,2.86057,1.28972,0.00756,0.0279,0.00592,0.00217,2.68313,3.47242,1.27996,0.000785738,0.000785738,0.000785738
10,126.697,2.70956,2.72994,1.29799,0.00483,0.0188,0.00299,0.00103,2.79006,3.43708,1.34497,0.000860505,0.000860505,0.000860505
11,142.356,2.83451,2.8081,1.29834,0.01746,0.07151,0.01205,0.00474,2.68906,3.09714,1.23636,0.000932443,0.000932443,0.000932443
12,150.874,2.73949,2.63997,1.25804,0.01922,0.0678,0.01439,0.00505,2.71934,3.09184,1.29542,0.00100155,0.00100155,0.00100155
13,166.504,2.74344,2.63636,1.25478,0.02391,0.08378,0.01463,0.00571,2.73703,2.9838,1.28412,0.00106783,0.00106783,0.00106783
14,176.807,2.70361,2.55851,1.22893,0.02391,0.08378,0.01463,0.00571,2.73703,2.9838,1.28412,0.00113128,0.00113128,0.00113128
15,186.704,2.7633,2.54414,1.25654,0.03283,0.12611,0.02295,0.00853,2.79585,2.82866,1.27014,0.00114606,0.00114606,0.00114606
16,193.152,2.6883,2.5194,1.22048,0.04927,0.19037,0.04365,0.01518,2.65552,2.60683,1.19845,0.00112585,0.00112585,0.00112585
17,202.22,2.63714,2.41556,1.24269,0.0818,0.17568,0.05384,0.01939,2.64661,2.51919,1.20928,0.00110564,0.00110564,0.00110564
18,213.91,2.7035,2.42683,1.23388,0.44546,0.15755,0.06644,0.02293,2.68864,2.41676,1.22336,0.00108543,0.00108543,0.00108543
19,223.707,2.78974,2.52281,1.25892,0.47927,0.16096,0.0962,0.03281,2.64027,2.31059,1.17964,0.00106522,0.00106522,0.00106522
20,231.202,2.69187,2.44369,1.21686,0.12787,0.17539,0.12569,0.04211,2.64862,2.37402,1.19312,0.00104501,0.00104501,0.00104501
21,246.156,2.71582,2.4697,1.235,0.12587,0.17946,0.12513,0.04041,2.63582,2.29961,1.189,0.0010248,0.0010248,0.0010248
