epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6631,5.71642,13.0075,1.37983,0.00556,0.23061,0.14534,0.07858,5.15813,12.6187,1.28003,0.000361301,0.000361301,0.000361301
2,47.3282,5.4513,9.08319,1.22041,0.97713,0.08727,0.17713,0.09324,5.38817,10.7391,1.24713,0.000726805,0.000726805,0.000726805
3,68.6735,5.41251,7.58458,1.20516,0.4642,0.26193,0.26023,0.12608,5.54795,6.7163,1.22089,0.00108742,0.00108742,0.00108742
4,90.4457,5.34078,7.04132,1.19368,0.31649,0.27802,0.27572,0.13214,5.45761,6.17812,1.20401,0.001089,0.001089,0.001089
5,112.443,5.20919,6.70232,1.18528,0.31615,0.33876,0.28904,0.14508,5.14868,5.73231,1.19855,0.00108167,0.00108167,0.00108167
6,134.464,5.18026,6.51876,1.17896,0.34513,0.35389,0.33637,0.19277,4.98375,5.46689,1.13536,0.00107434,0.00107434,0.00107434
7,214.805,5.0552,6.27258,1.17077,0.43748,0.3452,0.34062,0.18657,4.99618,5.19109,1.15607,0.001067,0.001067,0.001067
8,236.027,5.05066,5.99011,1.15198,0.37421,0.36001,0.34236,0.1906,5.09525,5.17323,1.13024,0.00105967,0.00105967,0.00105967
9,257.213,5.04287,5.92802,1.15369,0.44975,0.37585,0.37857,0.21134,4.89633,4.95294,1.14737,0.00105234,0.00105234,0.00105234
10,278.388,4.91698,5.72324,1.14854,0.5608,0.3962,0.416,0.22193,4.85948,4.8801,1.135,0.00104501,0.00104501,0.00104501
11,300.792,4.85766,5.50697,1.14437,0.51185,0.38422,0.39471,0.21448,4.89471,4.94922,1.13039,0.00103767,0.00103767,0.00103767
12,322.138,4.91571,5.39122,1.13933,0.49169,0.37307,0.38721,0.21979,4.88771,4.98085,1.12687,0.00103034,0.00103034,0.00103034
13,343.655,4.86649,5.38852,1.12863,0.50041,0.39713,0.41223,0.2249,4.94372,5.09569,1.13595,0.00102301,0.00102301,0.00102301
14,365.254,4.88552,5.34207,1.14041,0.52085,0.415,0.42085,0.22644,4.87675,4.90888,1.12126,0.00101568,0.00101568,0.00101568
15,387.874,4.82505,5.25037,1.12136,0.51364,0.41593,0.41165,0.22785,4.86407,4.92715,1.11588,0.00100834,0.00100834,0.00100834
16,409.723,4.80948,5.11923,1.12294,0.51946,0.40003,0.4117,0.22637,4.85595,4.81962,1.12223,0.00100101,0.00100101,0.00100101
17,431.591,4.77321,4.96541,1.11642,0.48753,0.41747,0.41716,0.23846,4.72825,4.96156,1.12651,0.000993678,0.000993678,0.000993678
18,452.911,4.74911,4.96342,1.10947,0.57109,0.42663,0.43556,0.22779,4.74248,4.72377,1.10446,0.000986346,0.000986346,0.000986346
19,473.965,4.7,4.92991,1.10864,0.51168,0.42841,0.42974,0.23938,4.86971,4.71227,1.1214,0.000979013,0.000979013,0.000979013
20,495.583,4.72023,4.90795,1.10803,0.55812,0.4271,0.43236,0.2418,4.72309,4.74633,1.10331,0.000971681,0.000971681,0.000971681
21,519.143,4.732,4.90428,1.10927,0.57562,0.42457,0.43411,0.24396,4.69387,4.761,1.09907,0.000964348,0.000964348,0.000964348
22,540.366,4.70085,4.89562,1.11293,0.50028,0.41103,0.40643,0.23576,4.70221,4.9802,1.09932,0.000957015,0.000957015,0.000957015
23,561.87,4.6809,4.81277,1.09661,0.54357,0.4385,0.44433,0.25434,4.6332,4.53755,1.08046,0.000949683,0.000949683,0.000949683
24,584.144,4.57277,4.6209,1.08052,0.54084,0.42939,0.43275,0.25973,4.60253,4.51003,1.08775,0.00094235,0.00094235,0.00094235
25,606.096,4.55472,4.55817,1.09139,0.52844,0.43305,0.43319,0.2492,4.71908,4.67552,1.10134,0.000935018,0.000935018,0.000935018
26,628.544,4.61582,4.53163,1.08841,0.56116,0.43345,0.44596,0.25749,4.76568,4.5824,1.10278,0.000927685,0.000927685,0.000927685
27,650.425,4.66782,4.58375,1.10957,0.5416,0.43602,0.4387,0.25007,4.73366,4.76626,1.09329,0.000920352,0.000920352,0.000920352
28,671.557,4.67821,4.56388,1.09074,0.5741,0.43201,0.4474,0.26397,4.62135,4.46394,1.09487,0.00091302,0.00091302,0.00091302
29,692.806,4.69357,4.61651,1.10849,0.56666,0.43037,0.43765,0.26006,4.62575,4.659,1.09542,0.000905687,0.000905687,0.000905687
30,714.006,4.5831,4.46417,1.09257,0.50361,0.44692,0.42346,0.23055,4.81461,4.71871,1.10338,0.000898355,0.000898355,0.000898355
31,736.319,4.58345,4.45134,1.09562,0.53914,0.44755,0.44581,0.25387,4.69017,4.46336,1.0983,0.000891022,0.000891022,0.000891022
32,757.481,4.57225,4.39397,1.09022,0.53089,0.44549,0.43363,0.23956,4.76546,4.51131,1.09611,0.000883689,0.000883689,0.000883689
33,779.34,4.56075,4.408,1.08718,0.57419,0.45114,0.45186,0.25265,4.73897,4.50866,1.10081,0.000876357,0.000876357,0.000876357
34,802.368,4.52824,4.33706,1.08173,0.57005,0.44124,0.44618,0.25361,4.6001,4.3697,1.10976,0.000869024,0.000869024,0.000869024
35,823.567,4.48551,4.24036,1.08026,0.55799,0.44393,0.43974,0.25392,4.6012,4.55724,1.09395,0.000861692,0.000861692,0.000861692
36,844.696,4.53703,4.19068,1.08179,0.54931,0.4477,0.44303,0.25898,4.70052,4.46061,1.09461,0.000854359,0.000854359,0.000854359
37,865.7,4.5461,4.2858,1.07951,0.53714,0.42285,0.42875,0.25019,4.71855,4.81917,1.10164,0.000847026,0.000847026,0.000847026
38,886.907,4.52471,4.3179,1.08279,0.56866,0.46799,0.4799,0.27282,4.6289,4.26131,1.10323,0.000839694,0.000839694,0.000839694
39,909.03,4.4625,4.16193,1.07318,0.57029,0.44431,0.4514,0.26613,4.59365,4.57792,1.08139,0.000832361,0.000832361,0.000832361
40,930.118,4.48778,4.10511,1.06632,0.55871,0.45974,0.46877,0.26529,4.60054,4.43942,1.0727,0.000825029,0.000825029,0.000825029
41,951.554,4.471,4.10653,1.07241,0.55994,0.43274,0.45695,0.26204,4.57628,4.42092,1.0897,0.000817696,0.000817696,0.000817696
42,974.314,4.41973,4.08704,1.07186,0.57661,0.45569,0.44929,0.26395,4.6441,4.5498,1.07897,0.000810363,0.000810363,0.000810363
43,995.567,4.4436,4.13959,1.06479,0.55815,0.45583,0.44839,0.26129,4.68297,4.45817,1.07989,0.000803031,0.000803031,0.000803031
44,1016.88,4.48355,4.14878,1.07713,0.54581,0.44813,0.44779,0.26077,4.585,4.26121,1.06953,0.000795698,0.000795698,0.000795698
45,1038.56,4.42214,4.06737,1.06531,0.59387,0.446,0.46818,0.25747,4.6916,4.53988,1.0992,0.000788366,0.000788366,0.000788366
46,1059.72,4.39342,3.98689,1.07719,0.55298,0.45017,0.45499,0.2645,4.65266,4.5561,1.0825,0.000781033,0.000781033,0.000781033
47,1081.27,4.4037,3.9868,1.06083,0.57045,0.44752,0.4483,0.26733,4.60665,4.47348,1.08348,0.0007737,0.0007737,0.0007737
48,1105.87,4.42592,4.0497,1.06955,0.597,0.45035,0.45952,0.27148,4.50395,4.29631,1.08605,0.000766368,0.000766368,0.000766368
49,1127.91,4.38435,3.92462,1.06422,0.56559,0.46832,0.47402,0.2742,4.60518,4.31781,1.08367,0.000759035,0.000759035,0.000759035
50,1149,4.38165,3.87289,1.06235,0.56971,0.47636,0.47295,0.27595,4.52121,4.26976,1.06994,0.000751703,0.000751703,0.000751703
51,1170.09,4.36814,3.8361,1.05699,0.54997,0.48208,0.47903,0.28125,4.5793,4.2687,1.08559,0.00074437,0.00074437,0.00074437
52,1193.72,4.4017,3.95578,1.0609,0.57779,0.45637,0.47882,0.2742,4.56356,4.17911,1.07494,0.000737037,0.000737037,0.000737037
53,1214.91,4.36982,3.85973,1.05479,0.53437,0.43389,0.43879,0.2621,4.72915,4.66487,1.09507,0.000729705,0.000729705,0.000729705
54,1235.99,4.39691,3.85739,1.05964,0.54457,0.45053,0.45304,0.25897,4.65899,4.6758,1.08913,0.000722372,0.000722372,0.000722372
55,1257.09,4.43017,3.88946,1.06226,0.57998,0.4329,0.45652,0.2717,4.58234,4.45081,1.07594,0.00071504,0.00071504,0.00071504
56,1278.43,4.33451,3.77793,1.05243,0.55701,0.47095,0.48142,0.28145,4.52578,4.12276,1.08433,0.000707707,0.000707707,0.000707707
57,1299.57,4.30856,3.76235,1.05068,0.56309,0.46085,0.47217,0.28228,4.58382,4.16873,1.08288,0.000700374,0.000700374,0.000700374
58,1320.71,4.29949,3.68529,1.03624,0.58375,0.439,0.45773,0.27718,4.63793,4.24439,1.08851,0.000693042,0.000693042,0.000693042
59,1341.69,4.29076,3.68398,1.04465,0.57956,0.45737,0.46968,0.27299,4.59763,4.36485,1.08236,0.000685709,0.000685709,0.000685709
60,1362.82,4.28707,3.67876,1.04696,0.56741,0.4679,0.48221,0.28209,4.51721,4.2657,1.08025,0.000678377,0.000678377,0.000678377
61,1384.25,4.27019,3.69203,1.04814,0.58449,0.47528,0.47893,0.2809,4.5621,4.23151,1.08549,0.000671044,0.000671044,0.000671044
62,1406.14,4.29868,3.73002,1.04628,0.57728,0.48218,0.47872,0.29016,4.5085,4.34113,1.08253,0.000663711,0.000663711,0.000663711
63,1427.27,4.21529,3.58374,1.04673,0.57842,0.43027,0.45745,0.2692,4.65192,4.43193,1.10237,0.000656379,0.000656379,0.000656379
64,1449.34,4.25057,3.60454,1.03982,0.58547,0.45331,0.47803,0.28605,4.49666,4.15291,1.06957,0.000649046,0.000649046,0.000649046
65,1470.76,4.22354,3.59674,1.03414,0.59044,0.46057,0.47493,0.2762,4.55694,4.22046,1.07268,0.000641714,0.000641714,0.000641714
66,1491.77,4.22605,3.57958,1.03638,0.61012,0.4663,0.48062,0.28197,4.5971,4.29523,1.08725,0.000634381,0.000634381,0.000634381
67,1512.9,4.17922,3.58837,1.03609,0.59098,0.4653,0.47407,0.28252,4.56546,4.13406,1.07542,0.000627048,0.000627048,0.000627048
68,1534.7,4.24172,3.68482,1.04068,0.59774,0.4716,0.48122,0.2871,4.55883,4.21384,1.07583,0.000619716,0.000619716,0.000619716
69,1555.82,4.23619,3.63847,1.04095,0.60379,0.46127,0.47071,0.27627,4.58974,4.15034,1.08173,0.000612383,0.000612383,0.000612383
70,1576.98,4.18173,3.51326,1.03236,0.57417,0.46214,0.47006,0.2812,4.5777,4.35199,1.08213,0.000605051,0.000605051,0.000605051
71,1598.56,4.17174,3.49878,1.0283,0.63391,0.45889,0.48762,0.29312,4.49403,4.13352,1.0685,0.000597718,0.000597718,0.000597718
72,1619.58,4.15872,3.47085,1.03262,0.61668,0.47731,0.4933,0.29132,4.51778,4.16694,1.08179,0.000590385,0.000590385,0.000590385
73,1640.66,4.16735,3.46002,1.02871,0.58479,0.45787,0.47151,0.28186,4.58784,4.35112,1.08254,0.000583053,0.000583053,0.000583053
74,1662.21,4.13987,3.4679,1.02261,0.5739,0.48063,0.4825,0.28939,4.52327,4.14098,1.08267,0.00057572,0.00057572,0.00057572
75,1683.24,4.13054,3.4824,1.0268,0.6029,0.45252,0.46966,0.2867,4.46553,4.13701,1.07169,0.000568388,0.000568388,0.000568388
76,1704.3,4.14567,3.44288,1.02625,0.59684,0.48628,0.49124,0.29657,4.5152,4.01692,1.07775,0.000561055,0.000561055,0.000561055
77,1725.58,4.1188,3.38254,1.02407,0.56438,0.48061,0.46985,0.27917,4.5875,4.2148,1.08688,0.000553722,0.000553722,0.000553722
78,1747.15,4.1265,3.35885,1.01689,0.55558,0.47304,0.46881,0.27232,4.6438,4.46942,1.09328,0.00054639,0.00054639,0.00054639
79,1769.5,4.14191,3.42108,1.023,0.56846,0.49307,0.48897,0.28777,4.58276,4.19167,1.08446,0.000539057,0.000539057,0.000539057
80,1790.4,4.13362,3.39929,1.02514,0.60098,0.48636,0.48859,0.29149,4.55123,4.23356,1.07999,0.000531725,0.000531725,0.000531725
81,1813.24,4.13545,3.39121,1.01937,0.56454,0.478,0.48029,0.2878,4.53285,4.21996,1.0778,0.000524392,0.000524392,0.000524392
82,1834.81,4.07747,3.28796,1.02605,0.56206,0.48553,0.48245,0.28498,4.56431,4.22229,1.09182,0.000517059,0.000517059,0.000517059
83,1856.39,4.11801,3.30798,1.01736,0.61253,0.443,0.46031,0.27046,4.61359,4.33705,1.08017,0.000509727,0.000509727,0.000509727
84,1877.44,4.09025,3.30454,1.01435,0.5605,0.48656,0.48165,0.28637,4.45992,4.06695,1.0712,0.000502394,0.000502394,0.000502394
85,1899.74,4.07077,3.27149,1.01026,0.56971,0.47813,0.47939,0.28678,4.53559,4.23331,1.07929,0.000495062,0.000495062,0.000495062
86,1922.92,4.04157,3.2702,1.01663,0.59549,0.49216,0.49568,0.2898,4.53991,4.10014,1.0748,0.000487729,0.000487729,0.000487729
87,1943.92,4.02348,3.22862,1.01236,0.5959,0.48483,0.49315,0.28983,4.55736,4.21237,1.07701,0.000480396,0.000480396,0.000480396
88,1965.42,4.0128,3.20263,1.00917,0.60657,0.48077,0.49177,0.29006,4.53763,4.12394,1.08627,0.000473064,0.000473064,0.000473064
89,1986.6,4.01824,3.20332,1.00894,0.58817,0.46986,0.47218,0.28493,4.53701,4.24815,1.07952,0.000465731,0.000465731,0.000465731
