epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5706,5.53824,4.34383,1.31659,0.00812,0.23196,0.12756,0.08406,5.50493,4.63462,1.16842,0.000361301,0.000361301,0.000361301
2,44.7577,5.23955,3.23431,1.19413,0.95741,0.16455,0.18853,0.1021,5.28064,3.83847,1.1324,0.000726805,0.000726805,0.000726805
3,66.6114,5.40447,2.65969,1.2149,0.57947,0.27042,0.28162,0.14861,5.42874,2.62606,1.17951,0.00108742,0.00108742,0.00108742
4,87.9968,5.32509,2.48327,1.22675,0.53257,0.24755,0.24021,0.10635,5.48042,2.53471,1.19512,0.001089,0.001089,0.001089
5,111.927,5.19996,2.29371,1.19386,0.32398,0.33405,0.31191,0.16573,5.25091,2.07465,1.15097,0.00108167,0.00108167,0.00108167
6,133.337,5.17076,2.22698,1.19077,0.3315,0.3353,0.3317,0.17639,5.1894,1.81925,1.13114,0.00107434,0.00107434,0.00107434
7,155.176,5.11716,2.17934,1.1693,0.32823,0.37004,0.33005,0.17864,5.19204,1.80789,1.12048,0.001067,0.001067,0.001067
8,177.58,4.99586,2.04524,1.16284,0.41636,0.37138,0.34927,0.19653,5.27739,1.71107,1.10426,0.00105967,0.00105967,0.00105967
9,201.237,4.99344,2.05931,1.15931,0.41946,0.3804,0.36138,0.20143,5.0424,1.71111,1.10129,0.00105234,0.00105234,0.00105234
10,222.786,4.92751,2.00744,1.15718,0.42571,0.3639,0.34536,0.19071,5.12582,1.74731,1.10293,0.00104501,0.00104501,0.00104501
11,244.082,4.96902,1.95267,1.15202,0.41793,0.35727,0.34636,0.1853,5.15478,1.63804,1.11578,0.00103767,0.00103767,0.00103767
12,265.627,4.89616,1.92969,1.15414,0.41691,0.3779,0.35112,0.18205,5.19857,1.6434,1.11959,0.00103034,0.00103034,0.00103034
13,287.263,4.95308,1.91448,1.15277,0.38411,0.37055,0.35962,0.188,5.18966,1.77323,1.11238,0.00102301,0.00102301,0.00102301
14,308.32,4.92522,1.89235,1.155,0.44799,0.37789,0.369,0.21004,5.18714,1.73152,1.10375,0.00101568,0.00101568,0.00101568
15,330.936,4.85463,1.86943,1.13695,0.43809,0.37925,0.36751,0.20654,5.12731,1.77722,1.11314,0.00100834,0.00100834,0.00100834
16,351.95,4.90865,1.84907,1.15394,0.47422,0.43834,0.39061,0.22258,4.97503,1.61871,1.10072,0.00100101,0.00100101,0.00100101
