epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3262,5.68856,25.0301,1.36715,0.00878,0.23097,0.17955,0.10988,5.35785,25.0514,1.20966,0.000361301,0.000361301,0.000361301
2,56.7694,5.50682,16.8839,1.24432,0.88846,0.12364,0.16542,0.06518,5.59608,19.8335,1.31298,0.000726805,0.000726805,0.000726805
3,84.5748,5.53602,14.8501,1.23741,0.48595,0.21919,0.20593,0.10674,5.77577,14.7,1.27452,0.00108742,0.00108742,0.00108742
4,112.471,5.37516,14.0355,1.22684,0.33103,0.24237,0.25038,0.12421,5.58813,12.5162,1.22174,0.001089,0.001089,0.001089
5,140.905,5.33081,13.1394,1.22036,0.44935,0.31126,0.30365,0.15954,5.27287,10.7303,1.24291,0.00108167,0.00108167,0.00108167
6,183.735,5.25311,12.6539,1.20753,0.38621,0.34764,0.29636,0.14849,5.23943,10.6122,1.1867,0.00107434,0.00107434,0.00107434
7,210.858,5.18498,12.2398,1.19639,0.40876,0.36534,0.33897,0.18963,5.16989,10.1331,1.18275,0.001067,0.001067,0.001067
8,238.12,5.06413,11.7295,1.17876,0.53071,0.36063,0.36015,0.18518,5.16534,9.75051,1.18997,0.00105967,0.00105967,0.00105967
9,265.564,5.09961,11.5928,1.18594,0.52717,0.39145,0.38943,0.19785,5.11065,9.68755,1.17518,0.00105234,0.00105234,0.00105234
10,292.565,4.96727,11.3467,1.162,0.50589,0.38782,0.39408,0.21989,5.10481,9.65002,1.16189,0.00104501,0.00104501,0.00104501
11,320.2,4.93055,10.9002,1.15737,0.50377,0.40892,0.40215,0.23092,5.04989,9.40711,1.17314,0.00103767,0.00103767,0.00103767
12,347.22,4.90161,10.5777,1.16182,0.50605,0.40753,0.41187,0.23867,5.04419,9.4945,1.1783,0.00103034,0.00103034,0.00103034
13,374.669,4.85577,10.5159,1.16035,0.53888,0.4502,0.44259,0.25509,4.93992,9.08261,1.14081,0.00102301,0.00102301,0.00102301
14,402.004,4.86667,10.2297,1.14172,0.52019,0.40703,0.41758,0.22912,4.95178,9.43992,1.14312,0.00101568,0.00101568,0.00101568
15,429.574,4.89088,10.4021,1.15411,0.48093,0.41625,0.39887,0.2279,5.07844,9.76864,1.14905,0.00100834,0.00100834,0.00100834
16,457.104,4.92607,10.0134,1.14032,0.5079,0.4316,0.4062,0.23145,5.04491,9.38982,1.13449,0.00100101,0.00100101,0.00100101
17,485.303,4.86098,10.0583,1.14562,0.52089,0.44727,0.42411,0.24135,4.97224,9.28259,1.13134,0.000993678,0.000993678,0.000993678
18,512.46,4.85384,9.97624,1.14278,0.57101,0.43648,0.41744,0.23935,4.91929,9.16077,1.15568,0.000986346,0.000986346,0.000986346
19,539.829,4.7783,9.68563,1.13812,0.54807,0.45372,0.43,0.24273,4.82526,8.90062,1.1371,0.000979013,0.000979013,0.000979013
20,568.421,4.7573,9.58409,1.12163,0.49653,0.44975,0.42831,0.23917,4.81923,9.09135,1.1358,0.000971681,0.000971681,0.000971681
21,608.922,4.76431,9.55602,1.12751,0.55516,0.40959,0.41535,0.24167,4.96498,9.43472,1.12581,0.000964348,0.000964348,0.000964348
22,636.678,4.81842,9.56513,1.13946,0.50562,0.41848,0.3956,0.21078,5.06214,9.50348,1.14179,0.000957015,0.000957015,0.000957015
23,664.215,4.77914,9.46747,1.13478,0.52045,0.43971,0.421,0.24864,4.81637,8.88672,1.13829,0.000949683,0.000949683,0.000949683
24,691.829,4.70495,9.30911,1.12872,0.54017,0.46864,0.44225,0.2514,4.86354,8.98684,1.13939,0.00094235,0.00094235,0.00094235
25,721.151,4.67969,9.05775,1.11273,0.48236,0.45166,0.43576,0.23857,4.78617,8.65004,1.13314,0.000935018,0.000935018,0.000935018
26,839.985,4.70294,9.00648,1.12465,0.52144,0.45939,0.42814,0.24864,4.82417,8.88975,1.14072,0.000927685,0.000927685,0.000927685
