epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7089,5.65226,13.5832,2.72243,0.00184,0.04212,0.0012,0.00069,6.84586,13.4775,3.62596,0.0707317,0.00325203,0.00325203
2,44.9481,5.60207,10.0283,2.44642,0.00223,0.07903,0.01919,0.01205,6.85998,13.0031,4.33749,0.0406882,0.0065419,0.0065419
3,68.3168,5.56747,8.53526,2.5006,0.00566,0.08837,0.00622,0.00265,7.60852,12.9978,4.65067,0.0106008,0.00978777,0.00978777
4,92.2361,5.59965,8.07663,2.50369,0.38963,0.02688,0.02137,0.01057,7.32684,10.848,4.15581,0.009802,0.009802,0.009802
5,114.28,5.51268,7.68763,2.47634,0.34074,0.12021,0.06431,0.02954,5.72431,8.476,2.96198,0.009736,0.009736,0.009736
6,136.551,5.54572,7.20868,2.44955,0.33742,0.22205,0.22683,0.13933,5.29629,6.1433,2.7693,0.00967,0.00967,0.00967
7,158.687,5.40058,7.05853,2.41986,0.40466,0.14801,0.15093,0.09549,5.6582,8.66914,3.28904,0.009604,0.009604,0.009604
8,182.706,5.3109,6.77274,2.40591,0.34008,0.18236,0.19805,0.13054,5.6397,7.32057,2.75893,0.009538,0.009538,0.009538
9,204.938,5.15371,6.83838,2.3193,0.3952,0.23675,0.24389,0.16117,5.20287,6.42459,2.56266,0.009472,0.009472,0.009472
10,227.172,5.14769,6.4456,2.32764,0.40741,0.27716,0.26973,0.1715,5.03551,6.06341,2.43738,0.009406,0.009406,0.009406
11,249.503,5.11121,6.46947,2.31756,0.33543,0.29963,0.27891,0.1724,4.85745,5.54298,2.4212,0.00934,0.00934,0.00934
12,271.797,5.04191,6.14773,2.29466,0.34506,0.25666,0.24508,0.16172,5.10932,6.68439,2.64376,0.009274,0.009274,0.009274
13,293.984,5.11609,6.1515,2.3306,0.38373,0.27516,0.26206,0.1528,5.0603,5.97907,2.55195,0.009208,0.009208,0.009208
14,316.423,5.02708,5.88417,2.30965,0.36357,0.29195,0.27011,0.16607,5.14071,5.95301,2.68801,0.009142,0.009142,0.009142
15,339.727,5.07411,6.04175,2.31047,0.47884,0.32228,0.31446,0.20631,4.60148,5.12402,2.32484,0.009076,0.009076,0.009076
16,363.625,5.01353,5.91433,2.2921,0.47378,0.20544,0.22142,0.14345,6.12235,7.32198,2.92441,0.00901,0.00901,0.00901
17,385.747,4.92315,5.8632,2.28197,0.3916,0.3,0.28059,0.17408,4.99354,5.99789,2.50892,0.008944,0.008944,0.008944
18,408.863,4.90309,5.6542,2.25392,0.41708,0.37317,0.33566,0.22183,4.73836,4.91127,2.35699,0.008878,0.008878,0.008878
19,433.941,4.87258,5.59323,2.26386,0.40655,0.39535,0.3307,0.21719,4.5134,5.04554,2.28825,0.008812,0.008812,0.008812
20,456.173,4.85147,5.5865,2.25102,0.44118,0.23128,0.2522,0.15684,5.51771,6.63575,2.75701,0.008746,0.008746,0.008746
21,478.79,4.92034,5.41648,2.24932,0.43758,0.3153,0.30267,0.20002,4.80777,5.12461,2.44098,0.00868,0.00868,0.00868
22,500.701,4.85707,5.35041,2.23805,0.32156,0.29064,0.26438,0.16758,4.79429,5.80917,2.43409,0.008614,0.008614,0.008614
23,522.797,4.78765,5.37023,2.22036,0.34252,0.30239,0.28365,0.18598,4.96309,5.53704,2.38989,0.008548,0.008548,0.008548
24,567.402,4.83108,5.23548,2.22228,0.37529,0.34029,0.29914,0.18671,4.83265,5.4328,2.41067,0.008482,0.008482,0.008482
25,592.602,4.75004,5.18084,2.20228,0.42794,0.32445,0.31505,0.20182,4.6483,5.01471,2.33525,0.008416,0.008416,0.008416
26,616.204,4.68901,5.11986,2.20503,0.39856,0.38887,0.34291,0.22263,4.41564,4.84494,2.30264,0.00835,0.00835,0.00835
27,638.378,4.69164,5.11392,2.17584,0.41225,0.29063,0.29936,0.19887,4.59247,5.30116,2.33558,0.008284,0.008284,0.008284
28,661.886,4.68,5.07344,2.19194,0.4302,0.36679,0.34742,0.22164,4.5992,4.68692,2.32464,0.008218,0.008218,0.008218
29,684.079,4.71854,5.02859,2.17384,0.4193,0.3808,0.36491,0.23699,4.31074,4.47671,2.24527,0.008152,0.008152,0.008152
30,706.375,4.74432,4.93885,2.19817,0.40646,0.39578,0.3713,0.2372,4.28372,4.62939,2.20796,0.008086,0.008086,0.008086
31,728.586,4.54474,4.79796,2.15557,0.42362,0.42511,0.37624,0.24365,4.22465,4.35858,2.2307,0.00802,0.00802,0.00802
32,750.879,4.74666,4.983,2.1919,0.41367,0.36646,0.35091,0.22469,4.55164,4.70974,2.24106,0.007954,0.007954,0.007954
33,773.119,4.57053,4.8697,2.16493,0.45339,0.39197,0.37906,0.23891,4.36549,4.68174,2.20745,0.007888,0.007888,0.007888
34,795.319,4.60708,4.86545,2.14372,0.39837,0.28627,0.28337,0.18912,4.76335,5.57414,2.41111,0.007822,0.007822,0.007822
