epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0531,5.67939,4.82977,1.45987,0.31915,0.28275,0.23652,0.10923,5.28779,2.54955,1.29209,0.000361301,0.000361301,0.000361301
2,135.797,5.09855,2.37978,1.22259,0.16099,0.23627,0.10601,0.03876,5.46922,3.33511,1.26298,0.000726805,0.000726805,0.000726805
3,211.229,5.17134,2.1976,1.24716,0.29721,0.21156,0.16525,0.06652,5.45025,2.0841,1.30445,0.00108742,0.00108742,0.00108742
4,272.811,5.17968,2.09064,1.26884,0.33166,0.27752,0.23687,0.1094,5.16533,1.98267,1.2981,0.001089,0.001089,0.001089
5,345.03,5.13203,1.93596,1.26401,0.4116,0.31965,0.30561,0.13418,5.11256,1.74292,1.24501,0.00108167,0.00108167,0.00108167
6,417.255,5.02337,1.88501,1.23991,0.30789,0.39156,0.28532,0.12424,5.0981,1.83434,1.24407,0.00107434,0.00107434,0.00107434
7,489.333,5.00931,1.86443,1.22428,0.47979,0.31233,0.33273,0.16143,5.0912,1.73784,1.25795,0.001067,0.001067,0.001067
8,562.178,4.96054,1.76741,1.21837,0.5283,0.401,0.39832,0.1908,4.98008,1.59433,1.23848,0.00105967,0.00105967,0.00105967
9,625.428,4.90846,1.70061,1.209,0.48307,0.32173,0.31014,0.13241,5.0964,1.68617,1.20438,0.00105234,0.00105234,0.00105234
10,697.122,4.91259,1.66731,1.19539,0.44673,0.34081,0.30739,0.13536,5.22754,1.84978,1.23734,0.00104501,0.00104501,0.00104501
11,771.443,4.87864,1.64541,1.19776,0.45408,0.38847,0.36491,0.19198,4.91051,1.67779,1.18825,0.00103767,0.00103767,0.00103767
12,846.057,4.77999,1.6295,1.1818,0.47165,0.37936,0.36618,0.19133,4.91046,1.61886,1.18254,0.00103034,0.00103034,0.00103034
13,912.985,4.77215,1.59806,1.18992,0.49267,0.42511,0.41528,0.20662,4.80706,1.53681,1.19917,0.00102301,0.00102301,0.00102301
14,985.128,4.74462,1.61287,1.18521,0.50091,0.42396,0.40902,0.2081,4.88215,1.5074,1.18209,0.00101568,0.00101568,0.00101568
15,1052.34,4.79135,1.58291,1.1866,0.49489,0.40165,0.38684,0.19709,5.03022,1.68943,1.20331,0.00100834,0.00100834,0.00100834
16,1124.92,4.72025,1.50925,1.1671,0.57332,0.4053,0.41006,0.20958,5.03969,1.5451,1.19768,0.00100101,0.00100101,0.00100101
17,1192.53,4.69234,1.53117,1.17095,0.46435,0.38365,0.37055,0.17234,5.11505,1.64833,1.20073,0.000993678,0.000993678,0.000993678
18,1258.17,4.74421,1.54871,1.1756,0.57723,0.43914,0.43439,0.23128,4.85362,1.53004,1.16931,0.000986346,0.000986346,0.000986346
19,1308.11,4.66406,1.53401,1.17361,0.57146,0.40838,0.43112,0.21243,4.81706,1.50449,1.20519,0.000979013,0.000979013,0.000979013
20,1358.73,4.63978,1.52424,1.16949,0.52625,0.47871,0.45814,0.23726,4.77545,1.49054,1.20278,0.000971681,0.000971681,0.000971681
21,1464.68,4.65174,1.5219,1.16279,0.51335,0.42342,0.41488,0.1954,4.86336,1.55566,1.19602,0.000964348,0.000964348,0.000964348
22,1536.21,4.73305,1.53271,1.18894,0.51047,0.42323,0.40343,0.20525,4.8015,1.64053,1.18209,0.000957015,0.000957015,0.000957015
23,1610.05,4.62875,1.50363,1.15864,0.55805,0.40095,0.42494,0.21981,4.81321,1.62405,1.18043,0.000949683,0.000949683,0.000949683
24,1683.33,4.5646,1.46609,1.15294,0.55363,0.4333,0.44142,0.2365,4.71812,1.44773,1.17056,0.00094235,0.00094235,0.00094235
25,1753.39,4.58183,1.44166,1.13808,0.54023,0.44701,0.42632,0.23535,4.80504,1.44489,1.17648,0.000935018,0.000935018,0.000935018
26,1825.57,4.62418,1.4319,1.16422,0.54595,0.42828,0.42987,0.23342,4.81841,1.49613,1.17809,0.000927685,0.000927685,0.000927685
27,1899.76,4.6161,1.49,1.14536,0.55909,0.45495,0.44667,0.24463,4.74385,1.46664,1.16675,0.000920352,0.000920352,0.000920352
28,1967.25,4.51712,1.44895,1.16091,0.54086,0.4428,0.44156,0.24075,4.72071,1.45992,1.18267,0.00091302,0.00091302,0.00091302
29,2040.53,4.48041,1.42973,1.12789,0.54497,0.42692,0.41766,0.24104,4.76959,1.54653,1.17409,0.000905687,0.000905687,0.000905687
30,2114.13,4.5254,1.43008,1.13322,0.53789,0.4727,0.44371,0.24131,4.81602,1.46579,1.16661,0.000898355,0.000898355,0.000898355
31,2162.13,4.51524,1.40914,1.13404,0.56728,0.43726,0.44529,0.25097,4.82637,1.46778,1.15877,0.000891022,0.000891022,0.000891022
32,2211.52,4.52323,1.40131,1.12953,0.63747,0.44989,0.48849,0.26746,4.64211,1.45476,1.15485,0.000883689,0.000883689,0.000883689
