epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7895,2.59692,3.83099,1.32186,0.20106,0.1252,0.11648,0.07545,3.00985,3.59883,1.57572,0.0679706,0.000323529,0.000323529
2,29.5904,2.47212,2.6205,1.163,0.0223,0.26052,0.12122,0.05562,2.72082,3.16308,1.2054,0.0349703,0.000656535,0.000656535
3,39.8027,2.39925,2.33339,1.16473,0.83054,0.193,0.24909,0.13626,2.45515,2.53528,1.16852,0.00196862,0.000988223,0.000988223
4,49.8974,2.35617,2.18356,1.14755,0.42057,0.27855,0.22972,0.1215,2.50369,2.13692,1.19493,0.00099552,0.00099552,0.00099552
5,60.4544,2.41397,2.09784,1.14506,0.36713,0.29184,0.27064,0.14779,2.5656,2.04937,1.17828,0.000992045,0.000992045,0.000992045
6,70.5545,2.3758,2.0263,1.12325,0.43235,0.28286,0.29451,0.17075,2.44912,1.98207,1.16519,0.000987589,0.000987589,0.000987589
7,80.6562,2.30961,1.99098,1.12745,0.40658,0.32655,0.31308,0.17137,2.44776,1.87953,1.2247,0.000982162,0.000982162,0.000982162
8,90.893,2.27295,1.93173,1.14009,0.47773,0.31209,0.33141,0.19977,2.38284,1.92595,1.16573,0.000975773,0.000975773,0.000975773
9,101.02,2.26465,1.86026,1.11772,0.44969,0.36661,0.35192,0.20965,2.36169,1.78752,1.1745,0.000968436,0.000968436,0.000968436
10,110.925,2.27739,1.82946,1.12605,0.42022,0.36774,0.33499,0.1978,2.41154,1.81262,1.19464,0.000960166,0.000960166,0.000960166
11,120.881,2.28907,1.83402,1.14506,0.38552,0.37291,0.32265,0.19361,2.49279,1.86134,1.18694,0.00095098,0.00095098,0.00095098
12,130.74,2.28455,1.79086,1.11103,0.44276,0.39003,0.35762,0.21528,2.32251,1.67055,1.1471,0.000940895,0.000940895,0.000940895
13,140.595,2.20492,1.72654,1.10837,0.48479,0.39884,0.36855,0.22515,2.35877,1.81972,1.15143,0.000929932,0.000929932,0.000929932
14,150.58,2.24251,1.71391,1.1062,0.47833,0.38102,0.37302,0.21842,2.35369,1.71465,1.15958,0.000918114,0.000918114,0.000918114
15,160.558,2.20139,1.70011,1.10742,0.469,0.40423,0.36443,0.21226,2.35532,1.67417,1.17328,0.000905463,0.000905463,0.000905463
16,170.594,2.18876,1.63249,1.10807,0.46775,0.37369,0.37017,0.21494,2.33718,1.63998,1.16822,0.000892007,0.000892007,0.000892007
17,180.425,2.14873,1.6685,1.09624,0.49034,0.36978,0.35533,0.21207,2.34516,1.67944,1.15064,0.00087777,0.00087777,0.00087777
18,190.404,2.1849,1.63427,1.08192,0.43464,0.39602,0.37622,0.22775,2.29399,1.57793,1.13424,0.000862783,0.000862783,0.000862783
19,200.371,2.22101,1.62809,1.08012,0.48462,0.41178,0.37534,0.21402,2.38495,1.62616,1.156,0.000847076,0.000847076,0.000847076
20,212.526,2.1964,1.57136,1.06926,0.50133,0.41988,0.39001,0.23622,2.29276,1.53139,1.13563,0.00083068,0.00083068,0.00083068
