epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.891,5.60563,4.20044,1.29897,0.01188,0.23333,0.13219,0.07381,5.25809,4.17882,1.33431,0.000361301,0.000361301,0.000361301
2,58.4775,5.27267,3.12549,1.16747,0.93204,0.02657,0.12646,0.06939,5.0595,3.62875,1.17812,0.000726805,0.000726805,0.000726805
3,88.1603,5.34352,2.73855,1.18362,0.78165,0.16355,0.21305,0.11882,5.00759,2.59574,1.23336,0.00108742,0.00108742,0.00108742
4,122.162,5.36614,2.52885,1.19509,0.51202,0.24033,0.2388,0.13646,4.9227,2.14606,1.2253,0.001089,0.001089,0.001089
5,151.313,5.22424,2.35836,1.18906,0.44236,0.28287,0.23978,0.12089,5.10396,2.11065,1.3006,0.00108167,0.00108167,0.00108167
6,179.662,5.18912,2.25145,1.17544,0.33583,0.3013,0.29332,0.15764,4.75768,2.11754,1.22029,0.00107434,0.00107434,0.00107434
7,208.429,5.19412,2.21793,1.17724,0.36826,0.29757,0.29775,0.16628,4.61438,1.86729,1.23124,0.001067,0.001067,0.001067
8,238.985,5.04336,2.09858,1.15392,0.50521,0.31265,0.30934,0.17325,4.80427,1.80035,1.20257,0.00105967,0.00105967,0.00105967
9,267.09,5.00875,2.0583,1.14699,0.31488,0.34372,0.30857,0.18054,4.65072,1.77203,1.14549,0.00105234,0.00105234,0.00105234
10,295.138,4.99636,1.97745,1.14282,0.34967,0.33225,0.3215,0.18343,4.64838,1.70339,1.16176,0.00104501,0.00104501,0.00104501
11,326.732,4.96624,1.9769,1.13256,0.44843,0.34464,0.33685,0.19261,4.54024,1.641,1.16551,0.00103767,0.00103767,0.00103767
12,354.873,4.90515,1.91884,1.13041,0.43533,0.35227,0.33581,0.19186,4.70857,1.80399,1.18457,0.00103034,0.00103034,0.00103034
13,383.027,4.97495,1.92189,1.13805,0.45543,0.31823,0.3416,0.19806,4.61156,1.74834,1.17125,0.00102301,0.00102301,0.00102301
14,411.339,4.90275,1.84957,1.13262,0.46198,0.36387,0.35742,0.20497,4.4178,1.66797,1.1335,0.00101568,0.00101568,0.00101568
15,441.393,4.87881,1.84592,1.12458,0.45856,0.37592,0.35601,0.21705,4.45397,1.62924,1.12193,0.00100834,0.00100834,0.00100834
16,542.664,4.84764,1.82937,1.11539,0.50258,0.38721,0.38682,0.20882,4.44401,1.61732,1.12709,0.00100101,0.00100101,0.00100101
17,570.704,4.78684,1.77887,1.12246,0.54918,0.39668,0.39818,0.23655,4.43344,1.5899,1.12453,0.000993678,0.000993678,0.000993678
