epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.36,2.54616,4.16793,1.30872,0.01158,0.26735,0.18072,0.1055,2.67615,4.09972,1.12989,0.000359441,0.000359441,0.000359441
2,22.8877,2.43394,3.07183,1.14451,0.97817,0.08594,0.1674,0.086,2.5307,3.79239,1.1461,0.00072255,0.00072255,0.00072255
3,31.3661,2.47445,2.56549,1.13828,0.76033,0.09475,0.196,0.10623,2.63897,2.87217,1.16327,0.00107833,0.00107833,0.00107833
4,40.0124,2.433,2.24238,1.13547,0.54707,0.25118,0.24969,0.13573,2.61731,2.0824,1.20548,0.001078,0.001078,0.001078
5,48.8899,2.40808,2.04633,1.14027,0.36348,0.28624,0.26999,0.16774,2.50726,2.32899,1.18514,0.001067,0.001067,0.001067
6,58.7728,2.3632,1.95821,1.12901,0.33695,0.29696,0.26203,0.14089,2.47448,2.33589,1.18568,0.00105601,0.00105601,0.00105601
7,67.526,2.33001,1.8596,1.1176,0.50142,0.33499,0.33508,0.2037,2.39569,2.07437,1.17313,0.00104501,0.00104501,0.00104501
8,76.4436,2.28441,1.78028,1.11426,0.46505,0.34971,0.34326,0.1988,2.39909,1.81244,1.16981,0.00103401,0.00103401,0.00103401
9,85.1204,2.28579,1.79038,1.12262,0.45111,0.36263,0.33918,0.17966,2.40931,1.85281,1.16479,0.00102301,0.00102301,0.00102301
10,93.6497,2.27734,1.7516,1.10437,0.41917,0.37161,0.36818,0.21628,2.34206,1.69262,1.15429,0.00101201,0.00101201,0.00101201
11,102.172,2.23657,1.7105,1.10814,0.48491,0.39151,0.36933,0.21478,2.34709,1.64651,1.14423,0.00100101,0.00100101,0.00100101
12,110.778,2.23724,1.68447,1.09298,0.45688,0.38538,0.37168,0.21724,2.3178,1.64083,1.14338,0.000990012,0.000990012,0.000990012
13,119.328,2.19577,1.63468,1.09765,0.46777,0.40332,0.37698,0.21222,2.38513,1.6691,1.15349,0.000979013,0.000979013,0.000979013
14,127.826,2.19064,1.61764,1.08347,0.47963,0.40616,0.39385,0.22584,2.3346,1.64497,1.12147,0.000968014,0.000968014,0.000968014
15,136.29,2.18455,1.59011,1.0708,0.52691,0.39522,0.39937,0.22781,2.30561,1.61186,1.13642,0.000957015,0.000957015,0.000957015
16,144.74,2.16405,1.58853,1.06816,0.48221,0.41054,0.36803,0.21935,2.32444,1.65238,1.14513,0.000946016,0.000946016,0.000946016
17,153.497,2.18192,1.5392,1.06958,0.54576,0.42095,0.41653,0.23791,2.29774,1.51769,1.12822,0.000935018,0.000935018,0.000935018
18,161.922,2.16139,1.53054,1.06527,0.4804,0.44487,0.41053,0.24496,2.2505,1.49997,1.13747,0.000924019,0.000924019,0.000924019
19,170.527,2.14144,1.52623,1.07246,0.53269,0.39819,0.38688,0.22278,2.37582,1.61222,1.15008,0.00091302,0.00091302,0.00091302
20,178.954,2.13899,1.50494,1.06568,0.50411,0.40268,0.41086,0.24074,2.26561,1.55214,1.12784,0.000902021,0.000902021,0.000902021
21,187.421,2.14823,1.53366,1.05858,0.52626,0.44047,0.40331,0.22987,2.29188,1.55601,1.14004,0.000891022,0.000891022,0.000891022
22,196.017,2.12097,1.49335,1.06533,0.49176,0.43884,0.40546,0.23537,2.25374,1.51068,1.13201,0.000880023,0.000880023,0.000880023
23,204.423,2.07004,1.46446,1.06915,0.50029,0.4391,0.4218,0.24853,2.27855,1.52486,1.11876,0.000869024,0.000869024,0.000869024
24,213.038,2.09827,1.45896,1.05207,0.51747,0.40209,0.39749,0.23611,2.27989,1.5784,1.13724,0.000858025,0.000858025,0.000858025
25,221.591,2.08856,1.42565,1.04704,0.49505,0.40892,0.39963,0.22418,2.33569,1.57889,1.14919,0.000847026,0.000847026,0.000847026
26,230.173,2.13202,1.45294,1.05274,0.5099,0.43375,0.41149,0.23886,2.27586,1.53542,1.10341,0.000836027,0.000836027,0.000836027
27,238.745,2.10689,1.45051,1.05067,0.4995,0.43237,0.39839,0.23362,2.32413,1.5824,1.11828,0.000825029,0.000825029,0.000825029
28,247.379,2.0858,1.41373,1.03903,0.48041,0.46672,0.4181,0.24252,2.25164,1.51808,1.11096,0.00081403,0.00081403,0.00081403
29,255.951,2.05916,1.37182,1.03794,0.53425,0.44377,0.42852,0.24731,2.25059,1.45368,1.13679,0.000803031,0.000803031,0.000803031
30,264.365,2.05925,1.36806,1.04433,0.5293,0.46903,0.43387,0.25347,2.23815,1.43897,1.11336,0.000792032,0.000792032,0.000792032
31,272.764,2.03908,1.38499,1.04153,0.52942,0.45152,0.42123,0.24036,2.25932,1.47379,1.11344,0.000781033,0.000781033,0.000781033
32,281.23,2.03106,1.37454,1.03375,0.522,0.41713,0.41475,0.23856,2.25932,1.53377,1.10573,0.000770034,0.000770034,0.000770034
33,289.935,2.03871,1.36806,1.03328,0.52662,0.45051,0.42197,0.24683,2.24309,1.48104,1.11561,0.000759035,0.000759035,0.000759035
34,298.574,2.06552,1.36749,1.03905,0.48618,0.40833,0.39401,0.21544,2.38943,1.59415,1.12328,0.000748036,0.000748036,0.000748036
35,307.265,2.03551,1.36757,1.03341,0.49045,0.44,0.41997,0.24269,2.29288,1.51169,1.12734,0.000737037,0.000737037,0.000737037
36,315.847,2.06211,1.36433,1.0258,0.4986,0.43963,0.42012,0.24378,2.26168,1.50372,1.12545,0.000726038,0.000726038,0.000726038
37,324.382,2.01348,1.32544,1.0199,0.49962,0.41713,0.40451,0.23644,2.31739,1.52455,1.13503,0.00071504,0.00071504,0.00071504
38,332.91,1.99676,1.33307,1.02699,0.5027,0.43015,0.42417,0.24354,2.27301,1.50896,1.12193,0.000704041,0.000704041,0.000704041
39,341.573,1.98287,1.30752,1.01357,0.49719,0.43651,0.41103,0.24003,2.24499,1.4998,1.11729,0.000693042,0.000693042,0.000693042
40,349.951,1.99303,1.29942,1.02504,0.52351,0.42169,0.40586,0.24027,2.26947,1.50193,1.1163,0.000682043,0.000682043,0.000682043
41,358.397,1.99994,1.30154,1.01544,0.55141,0.4282,0.42658,0.25256,2.22619,1.45764,1.1123,0.000671044,0.000671044,0.000671044
42,366.877,2.0265,1.31423,1.01947,0.48929,0.4287,0.39896,0.23381,2.31883,1.52786,1.12067,0.000660045,0.000660045,0.000660045
43,375.316,1.98215,1.29022,1.0124,0.48507,0.4364,0.40163,0.23618,2.30371,1.524,1.11364,0.000649046,0.000649046,0.000649046
44,383.88,2.0083,1.29171,1.01848,0.51299,0.41735,0.40255,0.24406,2.24501,1.46602,1.11163,0.000638047,0.000638047,0.000638047
45,392.342,1.967,1.28079,1.01929,0.51467,0.40273,0.38607,0.23482,2.22994,1.5032,1.11857,0.000627048,0.000627048,0.000627048
46,400.897,1.9629,1.27338,1.01387,0.49575,0.41997,0.41056,0.2443,2.23757,1.4791,1.13274,0.000616049,0.000616049,0.000616049
47,409.413,1.97159,1.26656,1.01264,0.48736,0.44471,0.40124,0.24162,2.2568,1.48263,1.12776,0.000605051,0.000605051,0.000605051
48,418.116,1.99527,1.25336,1.00397,0.51793,0.43888,0.40814,0.23634,2.27673,1.53841,1.13007,0.000594052,0.000594052,0.000594052
49,426.537,1.95285,1.23524,1.01555,0.50923,0.4708,0.41234,0.24316,2.24547,1.50698,1.12721,0.000583053,0.000583053,0.000583053
50,436.298,1.96118,1.23705,1.00651,0.51355,0.45693,0.42563,0.24672,2.25581,1.52506,1.13568,0.000572054,0.000572054,0.000572054
